"Feature","Gain"
"ATS3s",0.000495936297963498
"Mor26e",0.000495234792438854
"SM06_AEA.dm.",0.000492256230385316
"SpMin1_Bh.m.",0.000488988325749424
"X2v",0.000487209924077709
"BIC5",0.000486290090648588
"VE2_B.s.",0.000481804502607667
"ZM2Mad",0.000481406356214464
"R4v.",0.000479243850038237
"Mor16p",0.000478903940092529
"HATS0e",0.000477774789122947
"VE1_RG",0.000473728894208809
"JGI3",0.000472911287852817
"Mor09s",0.000471871986766436
"VE2_Dz.Z.",0.00047021199650434
"PW3",0.00046849877339269
"Mor27i",0.000466250316785491
"Mor18m",0.000464827581197871
"TDB06s",0.000462801177138732
"RDF025p",0.000453771529957444
"Mor10m",0.000451424742702179
"MWC04",0.000449184907673312
"P_VSA_MR_5",0.000448149295743467
"SM14_AEA.dm.",0.000441963624146721
"H5i",0.000438132158360831
"SpMax1_Bh.i.",0.000437731680601633
"ATSC4e",0.000437403195378333
"HATS5p",0.000436841762832253
"MCD",0.000436803064265273
"Mor08i",0.000435338103430502
"R7u",0.000434377978181991
"Mor05v",0.000434108478032829
"HATS5u",0.000433732979941235
"GATS5s",0.000432853728891498
"VE1_G.D",0.000430490091499838
"Mor12u",0.000429082311687489
"RDF060s",0.000427788954942786
"DISPp",0.000426910534662603
"R2e",0.00042609160422216
"Mor04u",0.000425977779351703
"MATS5p",0.000425304817916251
"RDF045s",0.000423853239186397
"P_VSA_LogP_2",0.000423029006233028
"Mor20s",0.000422856885412654
"MATS2m",0.000420836311289863
"SM1_Dz.i.",0.000418230876730615
"HATS3s",0.000417418454861004
"GATS2e",0.000416873407785968
"X3A",0.000410747917103908
"Eta_B",0.000407468960867174
"HATS8s",0.000406982872595665
"Mor16u",0.000406575059669444
"SIC0",0.000406484551972383
"E3p",0.000406380079898185
"RDF075v",0.000405905872260263
"X4v",0.000403575605802133
"CIC0",0.000400217845426344
"piPC06",0.000399412807174109
"R2s.",0.000397524769098293
"SCBO",0.000394745571271118
"Mor06s",0.000393776352031427
"SpMin2_Bh.s.",0.000392603282823563
"R1s.",0.000391997126312287
"D.Dtr06",0.000389860739582092
"Mor03e",0.000389471515439538
"HATS4m",0.000388652220622952
"BIC3",0.000385927601377433
"E3v",0.000383846876408691
"SpMax1_Bh.p.",0.00038297579411477
"L3u",0.000381162326246274
"SpMax1_Bh.m.",0.000380280852750495
"Mor04v",0.000377075563808944
"SIC2",0.000375991133465744
"Eig13_EA.ri.",0.000374518776143766
"E1i",0.000372581712946528
"ATSC3e",0.000372060734676509
"Mor18p",0.000370597619234834
"Eta_F_A",0.000370469691275339
"SM03_AEA.dm.",0.000369976784386798
"Gm",0.000365836842851459
"Mor14i",0.000363933898012323
"SM06_EA.bo.",0.000363228079951005
"ISH",0.000362892198419615
"LPRS",0.000361447691047739
"Mor15u",0.000359319108206272
"Yindex",0.000359032348589589
"Mor27s",0.000358328372139402
"HATS7v",0.000354798878683985
"MATS1i",0.000352925729447926
"SIC1",0.000350509291234931
"GATS3m",0.000349468348815063
"MATS6s",0.000347694266120618
"WiA_Dz.Z.",0.000345579870926962
"R1s",0.00034551205824002
"AECC",0.000344448088316203
"GATS3s",0.000344158149055809
"Mor08u",0.000342660592099989
"H2s",0.000340571365290901
"R4m.",0.000340052989581953
"Mor09v",0.00033989435477637
"DLS_cons",0.000337869544578318
"CIC2",0.000337231715283785
"Mor03m",0.000335426381487434
"SIC4",0.000329765618821499
"TDB05i",0.000327967088794576
"Mor32p",0.000324960474131599
"MDDD",0.000324937747853836
"RTs",0.000324735789991966
"Mor04s",0.000324706349125008
"Mor07s",0.000322698509243665
"MATS3s",0.000322051526465754
"G2s",0.000319730047862202
"VE2_G.D",0.000317971815490929
"P_VSA_MR_4",0.000317649053006632
"Dm",0.000315970689668175
"H2u",0.000315240546464605
"J_Dz.Z.",0.000314706562098169
"L2u",0.000311467647318519
"RDF015m",0.000309243556294207
"X1Per",0.00030912994871288
"VE1_B.s.",0.000304231803957731
"SPI",0.000303939223836876
"HATS2p",0.00030309180656907
"Mor13u",0.000301900499524982
"Eig08_EA.bo.",0.000300319037415436
"ATSC1v",0.000299936566620826
"ATSC6v",0.000298888893611436
"IC2",0.000298762964427644
"R7p",0.000298117440360523
"HATS0m",0.000297751874076237
"SpMin5_Bh.m.",0.000297698591983267
"ZM2V",0.000296674357605987
"AVS_B.s.",0.000294884192045455
"JGI7",0.00029414306162661
"IVDE",0.000292344972342379
"GATS2p",0.00029062212640514
"S1K",0.000290246691591963
"VR2_D.Dt",0.000289207888094774
"HATS5s",0.000286594725736803
"P_VSA_m_2",0.000285857416579644
"HATS1u",0.000283662774889852
"Mor09p",0.000283367873290793
"AVS_B.i.",0.000282194641896326
"MATS5i",0.000281568411231747
"L2m",0.000281201589828934
"SpMin1_Bh.i.",0.00028104041329019
"MATS3e",0.000280203219874235
"Mor30p",0.00027953735806026
"WiA_Dz.p.",0.000279183134485195
"De",0.000278950041872637
